Movie,Year,Score,Adjusted Score,Director,Cast,Consensus,Box Office Collection,Imdb_genre,IMDB Rating,metascore,time_minute,Votes,IMDB Rating Scaled
Raging Bull,1980,94,99.996,Martin Scorsese,"Robert De Niro, Cathy Moriarty, Joe Pesci, Frank Vincent",The story of a middleweight boxer as he rises through ranks to earn his first shot at the middleweight crown....,23380513.0,Drama,82.0,89.0,129.0,346117.0,820.0
Bull Durham,1988,97,101.759,Ron Shelton,"Kevin Costner, Susan Sarandon, Tim Robbins, Trey Wilson","In Durham, N.C., the Bulls minor league baseball team has one asset no other can claim: a poetry-loving groupie named...",50888729.0,Comedy,70.0,73.0,108.0,53717.0,700.0
Moneyball,2011,94,105.239,Bennett Miller,"Brad Pitt, Jonah Hill, Philip Seymour Hoffman, Robin Wright","Billy Beane (Brad Pitt), general manager of the Oakland A's, one day has an epiphany: Baseball's conventional wisdom is all...",111300835.0,Drama,76.0,87.0,133.0,411015.0,760.0
Free Solo,2018,97,106.204,Elizabeth Chai Vasarhelyi,"Alex Honnold, Tommy Caldwell, Sanni McCandless, Jimmy Chin","Alex Honnold completes the first free solo climb of famed El Capitan's 3,000-foot vertical rock face at Yosemite National Park....",28611090.0,Adventure,81.0,83.0,100.0,65386.0,810.0
The Wrestler,2008,98,107.927,Darren Aronofsky,"Mickey Rourke, Marisa Tomei, Evan Rachel Wood, Mark Margolis","Aging wrestler Randy ""The Ram"" Robinson (Mickey Rourke) is long past his prime but still ready and rarin' to go...",46634275.0,Drama,79.0,80.0,109.0,302404.0,790.0
"I, Tonya",2017,90,118.915,Craig Gillespie,"Margot Robbie, Sebastian Stan, Allison Janney, Julianne Nicholson","In 1991, talented figure skater Tonya Harding becomes the first American woman to complete a triple axel during a competition....",53797409.0,Comedy,75.0,77.0,119.0,208875.0,750.0
Creed,2015,95,107.296,Ryan Coogler,"Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Phylicia Rashad","Adonis Johnson (Michael B. Jordan) never knew his famous father, boxing champion Apollo Creed, who died before Adonis was born....",173567581.0,Drama,76.0,82.0,133.0,267292.0,760.0
Ford v Ferrari,2019,92,114.621,James Mangold,"Matt Damon, Christian Bale, Jon Bernthal, Caitriona Balfe","American automotive designer Carroll Shelby and fearless British race car driver Ken Miles battle corporate interference, the laws of physics...",69679794.5,Drama,81.0,81.0,152.0,366806.0,810.0
The Fall,2006,62,65.275,Tarsem,"Lee Pace, Catinca Untaru, Justine Waddell, Robin Smith","A bedridden patient (Lee Pace) captivates a hospitalized girl (Catinca Untaru) with a fantastic tale involving heroes, mystics and villains...",2580348.0,Drama,81.0,70.0,60.0,101827.0,810.0
Solomon Kane,2009,66,67.319,Michael J. Bassett,"James Purefoy, Max von Sydow, Rachel Hurd-Wood, Alice Krige",A man (James Purefoy) must renounce his newly taken vows of peace to rescue a young woman (Rachel Hurd-Wood) from...,22024849.0,Horror,61.0,48.0,104.0,73224.0,610.0
Conan the Barbarian,1982,66,67.632,John Milius,"Arnold Schwarzenegger, James Earl Jones, Sandahl Bergman, Gerry Lopez",Orphaned boy Conan (Arnold Schwarzenegger) is enslaved after his village is destroyed by the forces of vicious necromancer Thulsa Doom...,79114085.0,Adventure,69.0,43.0,129.0,146804.0,690.0
The Forbidden Kingdom,2008,63,68.17,Rob Minkoff,"Jackie Chan, Jet Li, Michael Angarano, Crystal Liu","Jason (Michael Angarano), an American teenager, is a huge fan of Hong Kong cinema and old kung-fu movies. While browsing...",129075270.0,Adventure,65.0,57.0,104.0,105239.0,650.0
Ladyhawke,1985,68,69.271,Richard Donner,"Matthew Broderick, Rutger Hauer, Michelle Pfeiffer, Leo McKern","Upon breaking out of a dungeon, youthful thief Phillipe Gaston (Matthew Broderick) befriends Capt. Navarre (Rutger Hauer), a man with...",18400000.0,Comedy,69.0,64.0,121.0,46828.0,690.0
The Imaginarium of Doctor Parnassus,2009,64,71.849,Terry Gilliam,"Heath Ledger, Christopher Plummer, Verne Troyer, Andrew Garfield","Dr. Parnassus (Christopher Plummer), the leader of a traveling show, has a dark secret. Thousands of years ago he traded...",64352607.0,Comedy,68.0,65.0,123.0,148749.0,680.0
Clash of the Titans,1981,65,67.394,Desmond Davis,"Harry Hamlin, Laurence Olivier, Judi Bowker, Claire Bloom","Perseus (Harry Hamlin), son of the Greek god Zeus (Laurence Olivier), grows up on a deserted island. His destiny is...",493214888.0,Adventure,58.0,39.0,106.0,280392.0,580.0
Godmothered,2020,68,71.387,Sharon Maguire,"Isla Fisher, Jillian Bell, Santiago Cabrera, Mary Elizabeth Ellis","Set at Christmas time, ""Godmothered"" is a comedy about Eleanor, a young, inexperienced fairy godmother-in-training (Jillian Bell), who upon hearing...",69679794.5,Comedy,61.0,49.0,110.0,12202.0,610.0
The Chronicles of Narnia: Prince Caspian,2008,66,74.136,Andrew Adamson,"Georgie Henley, Skandar Keynes, William Moseley, Anna Popplewell","One year after their previous adventure, the Pevensie children (Georgie Henley, Skandar Keynes, William Moseley, Anna Popplewell) return to the...",417341288.0,Adventure,65.0,62.0,150.0,207495.0,650.0
