Year,Box Office Collection,IMDB Rating,metascore,time_minute,Target,Imdb_genre_Comedy,Imdb_genre_Drama,Imdb_genre_Horror,Imdb_genre_Sci-Fi,Imdb_genre_Thriller
1989,474171806.0,82.0,65.0,127.0,Capolavoro Universale,False,False,False,False,False
1989,222700000.0,64.0,63.0,93.0,Flop,False,False,False,True,False
1991,300854823.0,68.0,52.0,142.0,Flop,True,False,False,False,False
1991,34729091.0,67.0,62.0,107.0,Flop,False,False,False,False,False
1991,390500000.0,69.0,51.0,143.0,Flop,False,True,False,False,False
1992,75505856.0,77.0,76.0,112.0,Capolavoro Universale,False,True,False,False,False
1995,262758310.0,70.0,39.0,104.0,Flop,True,False,False,False,False
1998,233700000.0,68.0,63.0,136.0,Flop,True,False,False,False,False
1999,416385488.0,54.0,34.0,110.0,Flop,False,False,True,False,False
2001,69679794.5,88.0,92.0,178.0,Capolavoro Universale,False,True,False,False,False
2001,273330185.0,57.0,33.0,100.0,Flop,False,False,False,False,True
2002,75389090.0,77.0,61.0,131.0,Crowd Pleaser,False,True,False,False,False
2003,69679794.5,80.0,63.0,143.0,Crowd Pleaser,False,False,False,False,False
2003,69679794.5,74.0,81.0,138.0,Crowd Pleaser,False,True,False,False,False
2003,123954323.0,80.0,58.0,125.0,Crowd Pleaser,False,True,False,False,False
2004,331323410.0,69.0,39.0,131.0,Flop,False,False,False,False,True
2007,137022245.0,76.0,66.0,127.0,Crowd Pleaser,False,False,False,False,False
2008,101857425.0,60.0,55.0,96.0,Flop,True,False,False,False,False
2008,17831558.0,64.0,58.0,90.0,Flop,False,False,False,False,False
2010,1025491110.0,74.0,68.0,75.0,Crowd Pleaser,True,False,False,False,False
2012,619310368.0,79.0,79.0,127.0,Capolavoro Universale,False,True,False,False,False
2016,953554418.0,76.0,65.0,78.0,Capolavoro Universale,True,False,False,False,False
2017,561072059.0,66.0,62.0,118.0,Flop,False,False,False,True,False
2017,961613199.0,69.0,58.0,119.0,Flop,False,False,False,False,False
2016,17121823.0,66.0,78.0,141.0,Gemma della Critica,False,True,False,False,False
2018,133214549.0,42.0,53.0,109.0,Flop,False,False,False,True,False
2019,120597108.0,61.0,63.0,102.0,Flop,True,False,False,False,False
2019,28296983.0,61.0,66.0,120.0,Gemma della Critica,False,False,False,False,False
2000,69679794.5,61.0,52.0,98.0,Flop,True,False,False,False,False
2008,274392880.0,48.0,57.0,112.0,Flop,True,False,False,False,False
2001,69679794.5,61.0,53.0,95.0,Flop,False,False,False,False,True
1999,60413950.0,73.0,70.0,97.0,Crowd Pleaser,True,False,False,False,False
2007,43632609.0,76.0,64.0,123.0,Crowd Pleaser,False,True,False,False,False
2015,43528634.0,64.0,56.0,101.0,Flop,True,False,False,False,False
2003,10051516.0,71.0,70.0,81.0,Flop,False,True,False,False,False
1986,40476156.0,67.0,56.0,97.0,Flop,True,False,False,False,False
1978,387472317.0,72.0,70.0,110.0,Crowd Pleaser,True,False,False,False,False
1987,18553948.0,70.0,55.0,95.0,Flop,False,True,False,False,False
1999,10619770.0,72.0,76.0,97.0,Crowd Pleaser,False,True,False,False,False
1996,173046663.0,64.0,60.0,114.0,Flop,False,False,True,False,False
2005,4243996.0,72.0,72.0,110.0,Crowd Pleaser,False,True,False,False,False
1979,69679794.5,66.0,70.0,93.0,Flop,True,False,False,False,False
2015,9266180.0,77.0,74.0,105.0,Crowd Pleaser,True,False,False,False,False
2004,61950770.0,87.0,70.0,44.0,Crowd Pleaser,False,True,False,False,False
2000,27709625.0,72.0,70.0,124.0,Capolavoro Universale,False,True,False,False,False
1980,80227619.0,50.0,39.0,107.0,Flop,True,False,False,False,False
1980,22482952.0,71.0,67.0,102.0,Flop,True,False,False,False,False
1984,23686027.0,70.0,61.0,93.0,Flop,True,False,False,False,False
1989,239500000.0,81.0,79.0,128.0,Crowd Pleaser,True,False,False,False,False
2011,3483795.0,57.0,70.0,83.0,Flop,True,False,False,False,False
2010,76200721.0,70.0,72.0,92.0,Flop,True,False,False,False,False
2012,123681790.0,70.0,69.0,84.0,Flop,False,True,False,False,False
2012,33069303.0,80.0,67.0,103.0,Crowd Pleaser,False,True,False,False,False
1986,41382841.0,64.0,75.0,103.0,Gemma della Critica,True,False,False,False,False
2001,7510877.0,80.0,88.0,113.0,Capolavoro Universale,False,True,False,False,False
1987,4600000.0,69.0,73.0,99.0,Gemma della Critica,False,True,False,False,False
2015,18190831.0,72.0,72.0,103.0,Capolavoro Universale,True,False,False,False,False
1985,45905191.0,78.0,66.0,97.0,Capolavoro Universale,True,False,False,False,False
1998,19080435.0,76.0,86.0,93.0,Capolavoro Universale,True,False,False,False,False
2007,202822861.0,67.0,81.0,117.0,Gemma della Critica,True,False,False,False,False
2013,6916951.0,71.0,82.0,95.0,Gemma della Critica,True,False,False,False,False
1999,17202854.0,73.0,83.0,103.0,Capolavoro Universale,True,False,False,False,False
1983,63541777.0,68.0,75.0,99.0,Gemma della Critica,True,False,False,False,False
1955,69679794.5,77.0,89.0,111.0,Capolavoro Universale,False,True,False,False,False
2017,878346440.0,74.0,73.0,133.0,Capolavoro Universale,False,False,False,True,False
1976,82409520.0,58.0,53.0,100.0,Gemma della Critica,False,True,False,False,False
